GBPUSD
🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 8 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen13-f1-0.6316.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['volatility-ratio_20_2.0_1.0', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'is-open', 'williamsr_14', 'kaufman-er_10', 'aroon_14', 'stochastic_5_3_3']
------------------------------------------------------------
Step  230/246 | Bars:  230 | Time: 1771992000000 | Score: 0.0000045835 | Target: 0 | *
Step  231/246 | Bars:  231 | Time: 1772006400000 | Score: 0.0000001124 | Target: 0 | *
Step  232/246 | Bars:  232 | Time: 1772020800000 | Score: 0.0000000045 | Target: 0 |
Step  233/246 | Bars:  233 | Time: 1772035200000 | Score: 0.0000000011 | Target: 0 |
Step  234/246 | Bars:  234 | Time: 1772049600000 | Score: 0.0000000003 | Target: 0 |
Step  235/246 | Bars:  235 | Time: 1772064000000 | Score: 0.0000000000 | Target: 0 |
Step  236/246 | Bars:  236 | Time: 1772078400000 | Score: 0.0000000000 | Target: 0 |
Step  237/246 | Bars:  237 | Time: 1772092800000 | Score: 0.0000000002 | Target: 0 |
Step  238/246 | Bars:  238 | Time: 1772107200000 | Score: 0.0000000007 | Target: 0 |
Step  239/246 | Bars:  239 | Time: 1772121600000 | Score: 0.0014590792 | Target: 0 | **
Step  240/246 | Bars:  240 | Time: 1772136000000 | Score: 0.0060847215 | Target: 0 | ****
Step  241/246 | Bars:  241 | Time: 1772150400000 | Score: 0.0023528433 | Target: 0 | ****
Step  242/246 | Bars:  242 | Time: 1772164800000 | Score: 0.0113420468 | Target: 0 | *****
Step  243/246 | Bars:  243 | Time: 1772179200000 | Score: 0.0004410618 | Target: 0 | ....
Step  244/246 | Bars:  244 | Time: 1772193600000 | Score: 0.0018352501 | Target: 0 | ****
Step  245/246 | Bars:  245 | Time: 1772208000000 | Score: 0.0016395701 | Target: 0 | ****
Step  246/246 | Bars:  246 | Time: 1772222400000 | Score: 0.0031911633 | Target: 0 | ****

BOTTOM GBPUSD? NOW?
